timestamp, utilization.gpu [%]
2025/01/21 17:50:18.615, 26 %
2025/01/21 17:50:18.815, 16 %
2025/01/21 17:50:19.015, 24 %
2025/01/21 17:50:19.215, 18 %
2025/01/21 17:50:19.415, 22 %
2025/01/21 17:50:19.615, 25 %
2025/01/21 17:50:19.815, 15 %
2025/01/21 17:50:20.016, 13 %
2025/01/21 17:50:20.216, 14 %
2025/01/21 17:50:20.416, 25 %
2025/01/21 17:50:20.616, 4 %
2025/01/21 17:50:20.816, 24 %
2025/01/21 17:50:21.016, 15 %
2025/01/21 17:50:21.216, 25 %
2025/01/21 17:50:21.417, 25 %
2025/01/21 17:50:21.617, 15 %
2025/01/21 17:50:21.817, 19 %
2025/01/21 17:50:22.017, 21 %
2025/01/21 17:50:22.217, 27 %
2025/01/21 17:50:22.417, 24 %
2025/01/21 17:50:22.619, 16 %
2025/01/21 17:50:22.820, 19 %
2025/01/21 17:50:23.020, 21 %
2025/01/21 17:50:23.220, 27 %
2025/01/21 17:50:23.420, 23 %
2025/01/21 17:50:23.620, 17 %
2025/01/21 17:50:23.820, 25 %
2025/01/21 17:50:24.020, 15 %
2025/01/21 17:50:24.221, 17 %
2025/01/21 17:50:24.421, 23 %
2025/01/21 17:50:24.621, 14 %
2025/01/21 17:50:24.821, 25 %
2025/01/21 17:50:25.021, 16 %
2025/01/21 17:50:25.221, 15 %
2025/01/21 17:50:25.422, 25 %
2025/01/21 17:50:25.622, 13 %
2025/01/21 17:50:25.822, 27 %
2025/01/21 17:50:26.022, 13 %
2025/01/21 17:50:26.222, 13 %
2025/01/21 17:50:26.422, 20 %
2025/01/21 17:50:26.623, 21 %
2025/01/21 17:50:26.823, 19 %
2025/01/21 17:50:27.023, 16 %
2025/01/21 17:50:27.223, 18 %
2025/01/21 17:50:27.423, 13 %
2025/01/21 17:50:27.623, 27 %
2025/01/21 17:50:27.823, 13 %
2025/01/21 17:50:28.024, 27 %
2025/01/21 17:50:28.224, 13 %
2025/01/21 17:50:28.424, 27 %
2025/01/21 17:50:28.624, 27 %
2025/01/21 17:50:28.824, 22 %
2025/01/21 17:50:29.024, 19 %
2025/01/21 17:50:29.224, 17 %
2025/01/21 17:50:29.425, 24 %
2025/01/21 17:50:29.625, 13 %
2025/01/21 17:50:29.825, 27 %
2025/01/21 17:50:30.025, 19 %
2025/01/21 17:50:30.225, 21 %
2025/01/21 17:50:30.425, 24 %
2025/01/21 17:50:30.625, 9 %
2025/01/21 17:50:30.826, 21 %
2025/01/21 17:50:31.026, 27 %
2025/01/21 17:50:31.226, 13 %
2025/01/21 17:50:31.426, 27 %
2025/01/21 17:50:31.626, 13 %
2025/01/21 17:50:31.826, 18 %
2025/01/21 17:50:32.027, 22 %
2025/01/21 17:50:32.227, 26 %
2025/01/21 17:50:32.427, 27 %
2025/01/21 17:50:32.627, 13 %
2025/01/21 17:50:32.828, 27 %
2025/01/21 17:50:33.028, 19 %
2025/01/21 17:50:33.228, 14 %
2025/01/21 17:50:33.428, 21 %
2025/01/21 17:50:33.628, 14 %
2025/01/21 17:50:33.828, 25 %
2025/01/21 17:50:34.028, 15 %
2025/01/21 17:50:34.229, 19 %
2025/01/21 17:50:34.429, 21 %
2025/01/21 17:50:34.629, 27 %
2025/01/21 17:50:34.829, 14 %
2025/01/21 17:50:35.029, 26 %
